countries_row	years_column	value
9	47	0.01
10	47	0.01
11	47	0.01
12	47	0.01
13	47	0.01
14	47	0.01
15	47	0.011315047
16	47	0.033698916
17	47	0.15520826
18	47	0.502949536
19	47	1.021752357
20	47	3
21	47	1.5
22	47	3.918669462
23	47	4.912345409
24	47	5.915032864
25	47	6.923728466
26	47	7.935427666
27	47	8.947628021
1	48	32.8
2	48	27.0560112
3	48	27.57832146
4	48	28.09757042
5	48	28.61070251
6	48	29.11465645
7	48	29.60637474
8	48	30.082798
9	48	30.54086494
10	48	30.97751999
11	48	23
12	48	31.78651237
13	48	32.16945648
14	48	32.54611969
15	48	32.92256165
16	48	33.3048439
17	48	33.69903183
18	48	34.11118698
19	48	34.54586411
20	48	29
21	48	35.47529984
22	48	35.96404648
23	48	36.46480942
24	48	36.97458649
25	48	44.9
26	48	38.00915527
27	48	38.52844238
1	49	0.01
2	49	0.423998952
3	49	1.448824644
4	49	3.002629757
5	49	5.792140007
6	49	8.572473526
7	49	11.3405695
8	49	14.09337044
9	49	16.82781792
10	49	19.54084969
11	49	22.23093033
12	49	26.9
13	49	27.56192398
14	49	30.21496391
15	49	32.86778259
16	49	35.52644348
17	49	35.2
18	49	40.88554764
19	49	43.59660339
20	49	46.32868576
21	49	45.55233761
22	49	51.84391785
23	49	54.62106323
24	49	57.40721512
25	49	65
26	49	62.99454498
27	49	65.79020691
1	50	2.483708858
2	50	3.234415293
3	50	6.8
4	50	4.731749058
5	50	5.47276783
6	50	6.204609871
7	50	9.4
8	50	7.62852478
9	50	8.314479828
10	50	8
11	50	9.620610237
12	50	10.24378967
13	50	10.85462189
14	50	11.1
15	50	11.4
16	50	12.67366886
17	50	13.2957449
18	50	13.93578815
19	50	11.5
20	50	11.2
21	50	14.8
22	50	14.2
23	50	15.3
24	50	16.4
25	50	18.91017914
26	50	18.5
27	50	32.8
1	51	0.01
2	51	0.942452967
3	51	2.845301628
4	51	4.745091438
5	51	6.638762474
6	51	8.523256302
7	51	10.39551449
8	51	12.25247669
9	51	15.3
10	51	15.90827751
11	51	16.95623488
12	51	19.47834969
13	51	21.24183464
14	51	22.99903679
15	51	24.75601578
16	51	26.51883888
17	51	27.9
18	51	30.08626366
19	51	31.90147972
20	51	33.7377243
21	51	30.79174368
22	51	39.7
23	51	39.3425827
24	51	41.23289871
25	51	45.7
26	51	45.02854538
27	51	46.92837524
1	52	87.99334717
2	52	88.66529846
3	52	89.33674622
4	52	90.00512695
5	52	86.8
6	52	88.7
7	52	90.4
8	52	92
9	52	93.2
10	52	94.2
11	52	94.8
12	52	97.3
13	52	97.8
14	52	98.4
15	52	99
16	52	99.3
17	52	99.4
18	52	99.4
19	52	99.4
20	52	99.5
21	52	99.5
22	52	99.5
23	52	99.5
24	52	99.7
25	52	99.8
26	52	100
27	52	100
1	53	1.266457081
2	53	5.6
3	53	2.767665863
4	53	3.514956474
5	53	4.256128788
6	53	6.8
7	53	5.707881927
8	53	6.412344933
9	53	7.098453045
10	53	7.763147831
11	53	8.40489006
12	53	8.6
13	53	7.8
14	53	10.24390888
15	53	10.84839058
16	53	8.9
17	53	9
18	53	12.72113991
19	53	13.38385677
20	53	10
